#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"HOME SWEET HOME (feat. TAEYANG & DAESUNG)","G-DRAGON,TAEYANG,DAESUNG",78,150,"k-pop, k-rap, korean r&b, ","Pop, Hip Hop, R&B","HOME SWEET HOME (feat. TAEYANG & DAESUNG)",2024-11-22,03:31,63,75,0,0,41,0,10,-5,A#/B♭ Minor,4,2025-01-10,0Cu8JdYvV9DdmzLzhxaZLH,"Galaxy Corporation / EMPIRE",3A,USUYG1584687
2,"Don't Stop Believin' (2022 Remaster)","Journey",84,119,"album rock, classic rock, hard rock, mellow gold, rock, soft rock","Rock","Escape (2022 Remaster)",1981-07-17,04:09,51,75,13,0,51,0,20,-7,E Major,4,2025-01-10,5RKQ5NdjSh2QzD4MaunT91,"Columbia/Legacy",12B,USSM18100116
3,"Happy - From  Despicable Me 2 ","Pharrell Williams",79,160,"dance pop, pop","Pop","G I R L",2014-03-03,03:52,65,82,22,0,96,10,0,-5,F Minor,4,2025-01-10,60nZcImufyMA1MKQY3dcCH,"Columbia",4A,USQ4E1300686
4,"She's Royal","Tarrus Riley",26,78,"dancehall, lovers rock","World/Traditional, Rock","Down In Jamaica: 40 Years of VP Records",2019-10-25,04:10,78,43,4,0,82,10,0,-8,D#/E♭ Major,4,2025-01-10,4ZEcuuNRfZk2osjAHAUJ8J,"VP Records",5B,USVPR1900276
5,"BLACKBIIRD","Beyoncé,Tanner Adell,Brittney Spencer,Tiera Kennedy,Reyna Roberts",63,94,"pop, r&b, modern country pop, black americana","Country, Pop, R&B","COWBOY CARTER",2024-03-29,02:11,48,19,72,0,20,0,10,-13,G Major,4,2025-01-10,7eEr7lgWYudwEKEaWCPiPI,"Parkwood Entertainment/Columbia",9B,USSM12402705
6,"About Best Of Me - Commentary","Anthony Hamilton",1,95,"contemporary r&b, neo soul, r&b, urban contemporary","R&B, Hip Hop","Back To Love (Track by Track version)",2011-12-13,01:03,68,6,35,0,51,50,20,-25,G#/A♭ Minor,4,2025-01-10,551Big909vtYc7mA6ylghQ,"RCA Records Label",1A,USRC11200114
7,"Before I Let Go","Maze,Frankie Beverly",52,103,"classic soul, funk, motown, neo soul, new jack swing, post-disco, quiet storm, soul, urban contemporary","R&B, Hip Hop","Great R&B",2009-01-01,03:56,78,56,18,0,96,0,10,-6,F#/G♭ Minor,4,2025-01-10,6e9xnBJPs0y9omrSU3C3N4,"Capitol Records",11A,USCA20400559
8,"Rise Up","Andra Day",3,118,"r&b","R&B","...alone and/or lonely",2024-02-22,04:13,40,32,81,0,18,0,30,-7,C♯/D♭ Major,4,2025-01-10,59sRA7QpaWdeb3PZOrYijm,"Warner Music Group - X5 Music Group",3B,USWB11505334
9,"Can I Kick It?","A Tribe Called Quest",67,97,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop","Hip Hop","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)",1990-04-17,04:11,85,67,17,0,74,20,10,-7,C Major,4,2025-01-10,3Ti0GdlrotgwsAVBBugv0I,"Jive/Legacy",8B,USJI10300400
